pH,CO2,HCO3,CO3,H,OH,DIC,CO2_frac,HCO3_frac,CO3_frac
1.1,0.0009999927739668903,7.226038784695272e-09,8.71185079933859e-18,0.09610128074127404,1.6627272433483586e-13,0.0010000000000056836,0.9999927739612067,7.2260387846542025e-06,8.711850799289075e-15
1.11,0.0009999926223795274,7.377626149626841e-09,9.052823863875315e-18,0.09380229748516908,1.697563117888745e-13,0.001000000000005686,0.9999926223738413,7.377626149584892e-06,9.05282386382384e-15
1.12,0.000999992467478814,7.532526862428314e-09,9.407505270596358e-18,0.09155840514873409,1.7331501931356007e-13,0.0010000000000056858,0.9999924674731283,7.532526862385485e-06,9.40750527054287e-15
1.1300000000000001,0.0009999923091907898,7.69081488231489e-09,9.77646167091632e-18,0.08936828990158131,1.7695052960631833e-13,0.0010000000000056819,0.999992309185108,7.69081488227119e-06,9.776461670860772e-15
1.1400000000000001,0.0009999921474398087,7.852565864544946e-09,1.0160283796259171e-17,0.08723066886857059,1.8066456402012133e-13,0.0010000000000056834,0.9999921474341253,7.852565864500316e-06,1.0160283796201427e-14
1.1500000000000001,0.0009999919821484723,8.01785719982654e-09,1.0559587506913717e-17,0.08514428941312185,1.844588834601342e-13,0.0010000000000056828,0.9999919821427896,8.017857199780976e-06,1.0559587506853708e-14
1.16,0.0009999918132376233,8.186768054644232e-09,1.0975014887512317e-17,0.08310792843685269,1.883352893012236e-13,0.001000000000005689,0.9999918132319343,8.186768054597657e-06,1.097501488744988e-14
1.17,0.0009999916406262608,8.359379412525608e-09,1.140723539123678e-17,0.08112039169517013,1.9229562432684825e-13,0.0010000000000056847,0.9999916406205761,8.359379412478087e-06,1.1407235391171933e-14
1.18,0.000999991464231554,8.535774116271248e-09,1.1856947034956085e-17,0.07918051312845552,1.9634177368981547e-13,0.001000000000005682,0.9999914642258719,8.535774116222747e-06,1.1856947034888713e-14
1.19,0.0009999912839687587,8.716036911168967e-09,1.2324877647598918e-17,0.07728715420848838,2.0047566589542835e-13,0.001000000000005682,0.9999912839630766,8.71603691111944e-06,1.2324877647528886e-14
1.2,0.0009999910997511813,8.900254489216594e-09,1.281178617416889e-17,0.07543920329976442,2.0469927380753394e-13,0.0010000000000056832,0.9999910997454982,8.900254489166012e-06,1.2811786174096078e-14
1.21,0.0009999909114901406,9.088515534376288e-09,1.3318464037924575e-17,0.07363557503536994,2.0901461567803642e-13,0.0010000000000056882,0.9999909114844525,9.08851553432459e-06,1.3318464037848818e-14
1.22,0.000999990719094902,9.280910768884508e-09,1.3845736563358271e-17,0.07187520970708344,2.1342375620039303e-13,0.0010000000000056847,0.9999907190892173,9.280910768831749e-06,1.3845736563279563e-14
1.23,0.0009999905224726705,9.477533000642626e-09,1.439446446272888e-17,0.0701570726693817,2.1792880758768106e-13,0.0010000000000056854,0.9999905224669852,9.477533000588743e-06,1.4394464462647042e-14
1.24,0.000999990321528498,9.678477171712645e-09,1.496554538903365e-17,0.06848015375703621,2.225319306758097e-13,0.0010000000000056845,0.9999903215228135,9.678477171657628e-06,1.4965545388948578e-14
1.25,0.0009999901161652604,9.883840407945571e-09,1.5559915558432145e-17,0.06684346671599196,2.2723533605245416e-13,0.001000000000005684,0.9999901161595764,9.883840407889391e-06,1.5559915558343703e-14
1.26,0.000999989906283603,1.0093722069766284e-08,1.6178551445276265e-17,0.06524604864722883,2.320412852123302e-13,0.001000000000005689,0.9999899062779141,1.009372206970886e-05,1.6178551445184226e-14
1.27,0.0009999896917818648,1.030822380414473e-08,1.6822471553046448e-17,0.0636869594633112,2.369520917394243e-13,0.0010000000000056858,0.9999896917761791,1.0308223804086119e-05,1.68224715529508e-14
1.28,0.0009999894725560678,1.0527449597779887e-08,1.7492738264642877e-17,0.06216528135733954,2.4197012251680744e-13,0.0010000000000056832,0.9999894725503846,1.0527449597720057e-05,1.7492738264543462e-14
